dataset,keras_3_Dilated_Conv,keras_parallel_3_Dilated_Conv
Adiac,25.547412633895874,1.6240389347076418
ArrowHead,4.010352611541748,1.2395291328430176
Beef,0.7159790992736816,0.15001916885375974
BeetleFly,0.4193282127380371,0.13291072845458984
BirdChicken,0.4195332527160645,0.14945292472839355
CBF,24.76139807701111,1.7729146480560303
Car,2.7206544876098633,0.2517232894897461
ChlorineConcentration,167.779899597168,5.674669504165649
CinCECGtorso,397.11468839645386,4.777707815170288
Coffee,0.5727555751800537,0.8350749015808105
Computers,45.903865098953254,1.6114752292633057
DiatomSizeReduction,11.135236501693726,2.513624668121338
DistalPhalanxOutlineAgeGroup,8.546724796295166,2.3450796604156494
DistalPhalanxOutlineCorrect,17.085369348525997,1.9446094036102295
DistalPhalanxTW,8.458993196487427,1.4252648353576658
ECG200,1.6309778690338137,1.2531976699829102
ECG5000,171.13150811195374,5.579626560211182
ECGFiveDays,24.869953870773312,2.973094940185547
Earthquakes,30.26901602745056,1.368278741836548
ElectricDevices,446.76738238334656,19.535239458084106
FaceAll,69.9571464061737,3.247073650360107
FaceFour,1.8266568183898926,0.8636672496795654
FacesUCR,69.9045672416687,3.5850398540496826
FiftyWords,43.49917244911194,2.0029335021972656
Fish,16.14658212661743,3.0515923500061035
FordA,492.9853563308716,8.443052530288696
FordB,443.0884630680084,8.899564981460571
GunPoint,2.2065184116363525,2.0079803466796875
Ham,6.4063637256622314,1.0296165943145752
HandOutlines,624.6550052165984,5.667422771453857
Haptics,61.96926736831665,1.703324556350708
Herring,2.961458683013916,1.0045552253723145
InlineSkate,171.31229615211487,2.72560977935791
InsectWingbeatSound,116.69114780426027,4.0929975509643555
ItalyPowerDemand,12.594687223434448,2.8637235164642334
LargeKitchenAppliances,82.18179273605345,1.9971020221710205
Lightning2,3.502342462539673,0.956169366836548
Lightning7,2.4759202003479004,0.9822590351104736
Mallat,450.82072138786316,7.630092620849609
Meat,2.1762337684631348,0.2447216510772705
MedicalImages,26.745078325271606,2.8439724445343018
MiddlePhalanxOutlineAgeGroup,9.021468877792357,1.6652216911315916
MiddlePhalanxOutlineCorrect,17.558264493942264,2.012619733810425
MiddlePhalanxTW,8.986456871032713,1.5962457656860352
MoteStrain,27.62065887451172,2.0307395458221436
NonInvasiveFetalECGThorax1,542.0415992736816,7.089733839035034
NonInvasiveFetalECGThorax2,543.4755895137787,10.109141826629639
OSULeaf,23.900087356567383,1.313236951828003
OliveOil,0.837709903717041,0.1746511459350586
PhalangesOutlinesCorrect,60.60664200782776,3.441526174545288
Phoneme,393.35215306282043,7.039250373840333
Plane,2.307251453399658,1.454606056213379
ProximalPhalanxOutlineAgeGroup,10.240319728851317,1.4470691680908203
ProximalPhalanxOutlineCorrect,17.456264257431034,1.9226896762847898
ProximalPhalanxTW,10.30669355392456,1.707076072692871
RefrigerationDevices,82.21985387802124,2.8916304111480713
ScreenType,82.26527786254883,2.021066665649414
ShapeletSim,6.04222559928894,0.36583638191223145
ShapesAll,107.21362829208375,2.417067527770996
SmallKitchenAppliances,82.21822357177733,2.026073455810547
SonyAIBORobotSurface1,10.122301578521727,1.505234956741333
SonyAIBORobotSurface2,16.98726725578308,2.6741347312927246
StarlightCurves,1845.7618596553805,37.854623556137085
Strawberry,43.10916352272034,1.9500789642333984
SwedishLeaf,31.540108203887943,2.255223035812378
Symbols,70.32708311080931,3.7546062469482417
SyntheticControl,8.326261758804321,1.4948923587799072
ToeSegmentation1,6.407025337219238,1.3608973026275637
ToeSegmentation2,3.314155817031861,1.046187162399292
Trace,3.5682380199432373,0.9360969066619872
TwoLeadECG,24.29867959022522,3.0813214778900146
TwoPatterns,161.10251688957214,6.166142463684082
UWaveGestureLibraryAll,810.1789789199829,15.437038421630858
UWaveGestureLibraryX,294.2280004024506,5.248467683792113
UWaveGestureLibraryY,294.21572446823114,6.256274461746216
UWaveGestureLibraryZ,294.0299911499024,6.1451032161712655
Wafer,266.4623074531556,7.7398247718811035
Wine,1.326200246810913,0.8745894432067871
WordSynonyms,43.56837844848633,1.9930500984191895
Worms,16.9483757019043,1.2395215034484863
Yoga,279.263653755188,4.749621868133545
airlinesnorm,5828.882254362107,916.4997713565826
bankmarketingnorm,553.5492033958436,44.46249270439148
breast,5.7322187423706055,1.6060066223144531
carnorm,16.27945852279663,3.3062407970428467
electricity,512.1242890357971,45.334081888198845
higgs200k,2857.4796090126038,539.4270765781403
ozone,53.658326148986816,3.423138380050659
pendigits,130.1652112007141,11.554050922393797
spambase,87.95877361297607,6.121918678283691
susy100k,1269.624385356903,127.82008600234985
mean,241.3426173204904,21.85761847076835
