[2018-12-12 09:07:31,708] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@66d3c617, name=log4j:logger=state.change.logger (state.change.logger)
[2018-12-12 09:07:51,180] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_UWaveGestureLibraryY-0 (state.change.logger)
[2018-12-12 09:07:51,180] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition __consumer_offsets-13 (state.change.logger)
[2018-12-12 09:07:51,180] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition __consumer_offsets-2 (state.change.logger)
[2018-12-12 09:07:51,180] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_StarlightCurves-0 (state.change.logger)
[2018-12-12 09:07:51,180] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition __consumer_offsets-35 (state.change.logger)
[2018-12-12 09:07:51,180] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition __consumer_offsets-46 (state.change.logger)
[2018-12-12 09:07:51,180] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_ArrowHead-0 (state.change.logger)
[2018-12-12 09:07:51,180] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_PhalangesOutlinesCorrect-0 (state.change.logger)
[2018-12-12 09:07:51,180] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition __consumer_offsets-24 (state.change.logger)
[2018-12-12 09:07:51,180] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_Phoneme-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_Adiac-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_MiddlePhalanxOutlineAgeGroup-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_kddcup99norm-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_FiftyWords-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_Fish-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_Ham-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_Car-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_Symbols-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_ECGFiveDays-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition __consumer_offsets-5 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_MiddlePhalanxTW-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_Yoga-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_TwoLeadECG-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_carnorm-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_pokerhand-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition __consumer_offsets-43 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_UWaveGestureLibraryAll-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_airlinesnorm-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition __consumer_offsets-32 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=2, isr=[0], zkVersion=2, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_ECG2000-1 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition __consumer_offsets-21 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_SmallKitchenAppliances-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_ShapeletSim-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_ShapesAll-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_SyntheticControl-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_DistalPhalanxOutlineCorrect-0 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition __consumer_offsets-10 (state.change.logger)
[2018-12-12 09:07:51,181] TRACE [Controller id=0 epoch=91] Sending UpdateMetadata request PartitionState(controllerEpoch=34, leader=0, leaderEpoch=15, isr=[0], zkVersion=15, replicas=[0], offlineReplicas=[0]) to brokers Set() for partition streams_ProximalPhalanxTW-0 (state.change.logger)
