dataset,keras_3_Dilated_Conv,keras_parallel_3_Dilated_Conv
Adiac,25.425870656967163,0.19338035583496094
ArrowHead,3.882307291030884,0.279329776763916
Beef,0.6135227680206299,0.0
BeetleFly,0.3187093734741211,0.0
BirdChicken,0.319636344909668,0.0
CBF,24.64860987663269,0.3161189556121826
Car,2.6045031547546387,0.0
ChlorineConcentration,167.27364182472232,1.229968786239624
CinCECGtorso,396.5030324459076,0.0
Coffee,0.4567196369171143,0.0
Computers,45.700777292251594,0.0
DiatomSizeReduction,10.987688302993774,1.4109971523284912
DistalPhalanxOutlineAgeGroup,8.481520652770996,1.281224012374878
DistalPhalanxOutlineCorrect,16.987114429473873,0.5539836883544922
DistalPhalanxTW,8.390186786651611,0.3577690124511719
ECG200,1.588528394699097,0.3948898315429688
ECG5000,170.61053466796875,0.7037560939788818
ECGFiveDays,24.747494459152218,1.5219283103942869
Earthquakes,30.06502914428711,0.0
ElectricDevices,445.2128586769104,5.75914454460144
FaceAll,69.71154356002808,0.6617882251739502
FaceFour,1.7035808563232422,0.0
FacesUCR,69.65927314758301,1.0215964317321775
FiftyWords,43.27370500564575,0.31429219245910645
Fish,15.99419093132019,1.8149421215057373
FordA,491.9868576526642,1.0516593456268308
FordB,442.15178084373474,2.090951442718506
GunPoint,2.1602416038513184,1.1509361267089844
Ham,6.2440221309661865,0.0
HandOutlines,623.7559461593627,0.0
Haptics,61.808188915252686,0.0
Herring,2.8061070442199707,0.0
InlineSkate,170.98696851730347,0.0
InsectWingbeatSound,116.3290469646454,1.1338551044464111
ItalyPowerDemand,12.494524002075195,1.4427714347839355
LargeKitchenAppliances,81.92368483543395,0.0
Lightning2,3.355107307434082,0.0
Lightning7,2.3533644676208496,0.0
Mallat,450.1144368648529,2.040246963500977
Meat,2.062387466430664,0.0
MedicalImages,26.61043381690979,1.264265537261963
MiddlePhalanxOutlineAgeGroup,8.951091527938841,0.5502734184265137
MiddlePhalanxOutlineCorrect,17.457135200500492,0.6150398254394531
MiddlePhalanxTW,8.914126634597777,0.4647393226623535
MoteStrain,27.486326932907104,0.3487439155578613
NonInvasiveFetalECGThorax1,541.0301327705383,0.0
NonInvasiveFetalECGThorax2,542.4545319080353,3.047452211380005
OSULeaf,23.70309543609619,0.0
OliveOil,0.7328736782073975,0.0
PhalangesOutlinesCorrect,60.35781192779541,0.696558952331543
Phoneme,392.7196834087372,2.0349321365356445
Plane,2.2598681449890137,0.5464308261871338
ProximalPhalanxOutlineAgeGroup,10.1645929813385,0.35257816314697266
ProximalPhalanxOutlineCorrect,17.357817649841312,0.5683450698852539
ProximalPhalanxTW,10.23084306716919,0.6168055534362793
RefrigerationDevices,81.96125864982605,0.8736677169799805
ScreenType,82.00583338737488,0.0
ShapeletSim,5.913678407669067,0.0
ShapesAll,106.90618944168092,0.0
SmallKitchenAppliances,81.95816922187804,0.0
SonyAIBORobotSurface1,10.045381307601927,0.3122994899749756
SonyAIBORobotSurface2,16.89108157157898,1.2735941410064695
StarlightCurves,1843.0334477424624,18.487370014190677
Strawberry,42.889408111572266,0.2600555419921875
SwedishLeaf,31.39758682250977,0.5936846733093262
Symbols,70.07486844062804,1.7606461048126218
SyntheticControl,8.260047912597656,0.3889694213867188
ToeSegmentation1,6.266097068786621,0.2918431758880615
ToeSegmentation2,3.1802492141723637,0.0
Trace,3.469381093978882,0.0
TwoLeadECG,24.17684555053711,1.5388972759246826
TwoPatterns,160.59298300743103,1.328033447265625
UWaveGestureLibraryAll,808.9281208515167,6.173988580703735
UWaveGestureLibraryX,293.50491833686834,0.0
UWaveGestureLibraryY,293.4862568378448,0.6968312263488771
UWaveGestureLibraryZ,293.30147290229803,0.6878452301025391
Wafer,265.69792413711554,0.9846980571746826
Wine,1.2112736701965332,0.0
WordSynonyms,43.342395067214966,0.3009061813354492
Worms,16.856591701507572,0.0
Yoga,278.646240234375,0.0
airlinesnorm,5791.237359762193,526.3454349040985
bankmarketingnorm,550.2774660587312,11.805209159851074
breast,5.666237115859985,0.4218332767486572
carnorm,16.142800092697144,1.4366159439086914
electricity,509.30378460884094,10.44390106201172
higgs200k,2841.072195291519,385.4195051193237
ozone,53.42427325248718,0.5705118179321289
pendigits,129.3680272102356,2.5257585048675537
spambase,87.57857823371887,1.7055201530456543
susy100k,1262.0834350585938,51.43355464935303
mean,240.2887413947137,11.713108458361782
