,total_time,total_time,kappa,kappa
classifier,AsynDL,CNN,AsynDL,CNN
dataset,,,,
TwoPatterns,7.794133424758911,17.404504299163822,0.9999824559922591,0.9998864927787664
CinCECGtorso,3.0539357662200928,16.19986343383789,0.9974100898871004,0.98721112350268
TwoLeadECG,2.0395584106445312,0.9141666889190674,0.9958355450431984,0.8503644805216332
Wafer,10.320595979690554,37.691184043884284,0.9971242219860624,0.9987072561916818
pendigits,13.530990362167358,128.13874053955078,0.98617717274683,0.9520940184963992
FacesUCR,3.777400732040405,70.20230627059937,0.9743154583191159,0.9575817297223328
Mallat,4.475875616073608,26.91501498222351,0.9696404479971428,0.97142181874234
FaceAll,3.5431129932403564,70.080970287323,0.9772896460738592,0.9537805358867998
Symbols,1.9788331985473635,2.6851794719696045,0.9504801294494744,0.8766067275078457
ItalyPowerDemand,1.9828970432281492,0.5041773319244385,0.9393972777140251,0.9099375910001484
ECG5000,6.8809969425201425,171.8955318927765,0.8949345604410892,0.8852282561651952
MoteStrain,2.407255887985229,1.1245343685150146,0.8945155902085559,0.8720748916761433
NonInvasiveFetalECGThorax1,6.9448606967926025,46.98599863052368,0.8930006503328725,0.9087672845336524
NonInvasiveFetalECGThorax2,7.023324489593506,47.33617639541626,0.8875707026879168,0.9146936078482142
SwedishLeaf,2.1193344593048096,1.275195837020874,0.8967207114629949,0.7285168976863922
FordA,9.542280435562132,491.99542713165283,0.831709771260729,0.8063564964593222
Yoga,5.472698926925659,21.62944769859314,0.8936949917180858,0.8769464880009574
UWaveGestureLibraryX,6.93480920791626,29.789974212646484,0.7978143282726212,0.7974625857733494
FordB,7.1803905963897705,45.31475305557251,0.8075804332682422,0.7681092827029191
ElectricDevices,23.222347497940067,81.56491923332214,0.7678666348736358,0.7426857175255603
UWaveGestureLibraryY,7.241288900375366,29.553688526153564,0.7515041923626729,0.7347583288125145
UWaveGestureLibraryZ,6.82597804069519,29.526902437210087,0.7198888790900875,0.6957601817014942
HandOutlines,4.254035472869873,621.1941335201262,0.7171499956615561,0.0
InsectWingbeatSound,3.4830996990203857,6.800553798675537,0.6321017785745521,0.6213203873934047
ShapesAll,2.4322850704193115,4.2541775703430185,0.6963586494129206,0.5906858218045367
MedicalImages,1.983590602874756,1.0421285629272459,0.6685543579524754,0.4397344155481973
PhalangesOutlinesCorrect,4.5997490882873535,3.82485556602478,0.5746790383053422,0.568364940745765
ChlorineConcentration,5.940579652786255,15.93768072128296,0.9482428091421344,0.9768557743537442
Phoneme,3.6783323287963863,21.550880670547485,0.18964754794695785,0.14020991640641073
